Article ID,If you read,Rec ID 1,Recommendation 1,Rec ID 2,Recommendation 2,Rec ID 3,Recommendation 3,Rec ID 4,Recommendation 4,Rec ID 5,Recommendation 5
4532698165746826599,What Happens When No One and Everyone Owns a Product? - Built to Adapt,-6215634663594744290,Stop Trying to Monetize Your Data - Built to Adapt,6614704926858202954,Introduction to Spring REST Docs | Baeldung,374674704202038318,Taking Microservices Home - NGINX,3142843830268077617,Building Flipkart Lite: A Progressive Web App,3134511142783292503,Spring Boot 1.4 released
-1839591250599587429,22 Mobile Stats Everyone Should Know - DZone Mobile,1403599387299754918,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all",1012456848389051365,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",4904775878165401439,My Approach to Mobile Accessibility Testing - Ministry of Testing,8526042588044002101,Cloud Native Part 1: Definition,6236312923258954569,5 Asian Trends for 2017
-5431549861280885742,Coder | Drupal.org,-8248141950199177506,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,-7130425546996181071,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),-2826566343807132236,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,6234756865145917449,Suzana Herculano-Houzel deixa o Brasil e expõe problemas profundos da ciência no país,-4399400419562742528,Seguro de Pessoas
-5160830061297425098,Amazon EBS Update - New Elastic Volumes Change Everything | AWS Blog,-91139000311163410,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,672199059798181601,Labelling automated builds on Docker Hub - Microscaling Systems,717471739656838182,Here's how Evernote moved 3 petabytes of data to Google's cloud,569574447134368517,Mastering Bash and Terminal,8905656922810620012,Hedron: Or my dissatisfaction with local development #Drupal
4001521928622781645,Ford lança serviço de monitoramento para caminhões,-6772450850499951060,"EC2 Price Reduction (C4, M4, and T2 Instances) | AWS Blog",-2929967869758467182,Farmers Demand Right to Fix Their Own Dang Tractors - Modern Farmer,-2203297578165226595,Announcing the Acquia Engage Awards,-6579094253358169934,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",4894993979681787098,Inovação em setores da indústria é tema de Fórum na Unicamp no dia 17
8076265166566225141,The Year in Design - Zeldman on Web & Interaction Design,-4351117979148287331,Pastejacking,-5820943153819992582,Google : End Of The Online Advertising Bubble,7986490214699943896,"Robotics, VR Content Take Center Stage at CES, But Where Is Cannabiz?",-6313130301986591995,Face recognition app taking Russia by storm may bring end to public anonymity,9028580484484026894,Cool URIs don't change
-292870452169977398,Strategyzer | Business Model Generation - Book,-547324075613341407,Senior Solution paga R$ 50 mi pela att/PS e reforça portfólio com software para core banking,163780025692404854,The SFMOMA's New App Will Forever Change How You Enjoy Museums,9033884391004475493,The Art of the OKR,4315784099325221836,tins ::: Rick Klau's weblog,4597139024287190193,"Ava wants to molecularly replicate high-end wines, no grapes necessary"
5728858831120768412,"New functional programming language can generate C, Python code for apps",-6171950598721418038,How To Avoid Equidistant HSV Colors,5658615529969625284,NES Classic Edition Coming This November,-569322218183730892,Cello,-2213320166727371491,MacOS Sierra Preview,-2375266175756882986,Aligning text smartly in CSS
-686679025328909441,Ibope revela lojas de e-commerce com maior recomendação no Brasil - B!T magazine,-502840688786875793,O IPO é a saída para a Netshoes?,-1353560213232970946,Netshoes e Zattini anunciam 30 dias de Black Friday,5447580952505296338,"'Uber do ônibus' derruba custo e acaba com engarrafamento, aponta estudo",3056097063387494549,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce,-6479058008972757948,#188. Profissão: Gerente de Projetos by brains9
-8391512412740651574,The Famous Photo of Chernobyl's Most Dangerous Radioactive Material Was a Selfie,-8099709040471107382,Vidente reflete sobre os desafios contemporâneos,-1861959619649725543,Vidente reflete sobre os desafios contemporâneos,-6499865726739947794,Microsoft's mobile problem may not be a problem at all,3823268327704412514,"Facebook Enhances Everyone's Like With Love, Haha, Wow, Sad, Angry Buttons",2293315701090958124,"Here's the first full trailer for the next Star Wars movie, Rogue One"
-2962461122453899874,Honda revela conceito de carro com 'emoções' e inteligência artificial,5439554346835640135,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",2048657552251060795,Creating value in auto finance with vLendRight | Kevin Moseri,7520301770873472812,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,5640834597379907148,Buscas on-line por carros têm expansão de 43% no 1º trimestre,5141088074002391058,Conheça o Relatório de Informações do Público Alvo do GA :)
3618205920179577598,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,-6468782714472551646,"Santander Brasil tem lucro gerencial de R$ 1,989 bi no 4º trimestre",-282629989972409543,Santander Brasil gera 21% do resultado da matriz no 4º trimestre,-4866987227632887920,Endered e Small World fazeme parceria para remessas de valores através de cartões,7790567704847993284,US Federal Judge Rules Bitcoin is Money in Coin.mx Trial - CoinDesk,5028081187109329892,What Is Open Banking and Why is it Important?
5474373819153295408,macOS Sierra will launch on September 20th | Cult of Mac,7655627888058923987,10 things we learned from Tim Cook's most revealing interview yet | Cult of Mac,-7448252416950961815,Apple Unveils iPhone 7 Alongside 7 Plus With Dual-Lens Camera,-6195775145989617417,LukeW | Obvious Always Wins,-799315203186826480,What to Expect at WWDC 2016,2285392309373358857,How Apple Keyboards Lost a Logo and Windows PCs Gained One
-6121430502305136434,6 Delicious Sports Snacks Approved by Athletes and Scientists,8120046881003900118,Email Isn't The Thing You're Bad At,7828019124127586556,How to grow your startup with no budget,5834671664627894569,Slack raises $200m at $3.8b valuation for business messaging,8295457724580096419,The Startup Zeitgeist,-8980834789053459155,Ingenious Shirt Uses Recognizable Icons to Help Break Language Barriers When Traveling
8779890754987103603,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,-3745582971859460684,Stop Coding Machine Learning Algorithms From Scratch - Machine Learning Mastery,-8815620240581422908,"Agility in the Cloud: Which ""As a Service"" Works for You?",6917508501173008954,Introducing the Data Science Maturity Model,6607431762270322325,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",-645584250289067285,I'm trying my hardest to slow the fuck down - HI MY NAME IS JON
-5009578843275173733,This $2.8 billion startup gets all of its daily meetings done in 10 minutes,2323403245382926621,Final is a plaster on the gaping wound that is U.S. credit card security,4106497696154898573,Learn Swift Programming Syntax | Udacity,-4570752586662989981,End is nigh for Rosetta,385212706171385893,Don Tapscott: How the blockchain is changing money and business,-8526359231369823784,"Automatic lays off 28% of its workforce, aims for profitability in 2017"
5269583152423890030,Sabia que você pode transformar o seu celular em uma impressora 3D?,-8909927294729358771,"Android N Developer Preview 2, out today! | Android Developers Blog",-9153494109165200346,"Android N Developer Preview 2, out today! | Android Developers Blog",-9172673334835262304,Tecnologia para colher mais e o uso do GPS,3965818599169726564,Sesi oferece curso de LIBRAS com certificação de 40 horas,-7550906488404754851,Governo busca empresas para aprimorar Internet das Coisas no Brasil
-8287402887944984163,Containers are not VMs,-115892576593938933,Speed Up a WordPress Website in 8 Steps,-1762456938647577126,Cloud Identity and Access Management - Google IAM,2388097612905924826,"Open Source Won. So, Now What?",-7108012586837980940,The Ultimate Digital Clean-Up Checklist: Are You Prepared For The New Year? - Smashing Magazine,4633013345375349272,Dries Buytaert: Advancing Drupal's web services
-8909927294729358771,"Android N Developer Preview 2, out today! | Android Developers Blog",-9153494109165200346,"Android N Developer Preview 2, out today! | Android Developers Blog",-9172673334835262304,Tecnologia para colher mais e o uso do GPS,3965818599169726564,Sesi oferece curso de LIBRAS com certificação de 40 horas,6797033574746412211,"ConstraintLayout, Inside and Out: Part 2",-6734931185433789466,Android Quickstart - Firebase
